Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year
85,0.027,0.09,0.006,0.003,0.034,0.057,0.696,0.017,0.071,0,smoothed,2009
86,0.022,0.1,0.007,0.002,0.033,0.05,0.708,0.015,0.065,0,smoothed,2009
87,0.023,0.093,0.006,0.001,0.026,0.05,0.72,0.014,0.066,0,smoothed,2009
88,0.024,0.102,0.007,0.002,0.034,0.045,0.709,0.012,0.065,0,smoothed,2009
89,0.025,0.101,0.006,0.002,0.036,0.054,0.703,0.012,0.062,0,smoothed,2009
90,0.021,0.105,0.004,0.001,0.044,0.054,0.697,0.011,0.063,0,smoothed,2009
91,0.016,0.103,0.005,0,0.038,0.06,0.706,0.011,0.061,0,smoothed,2009
92,0.016,0.1,0.006,0.001,0.037,0.056,0.716,0.009,0.059,0,smoothed,2009
93,0.014,0.101,0.007,0.001,0.034,0.057,0.724,0.007,0.056,0,smoothed,2009
94,0.013,0.113,0.006,0.001,0.031,0.06,0.713,0.007,0.056,0,smoothed,2009
95,0.01,0.116,0.004,0.001,0.029,0.067,0.706,0.009,0.058,0,smoothed,2009
96,0.01,0.136,0.004,0.001,0.031,0.075,0.681,0.009,0.054,0,smoothed,2009
97,0.013,0.118,0.003,0.002,0.032,0.082,0.695,0.009,0.046,0,smoothed,2009
98,0.018,0.104,0.002,0.002,0.026,0.08,0.701,0.007,0.059,0,smoothed,2009
99,0.021,0.071,0.003,0.002,0.017,0.08,0.722,0.007,0.077,0,smoothed,2009
100,0.021,0.066,0.003,0.001,0.013,0.075,0.717,0.005,0.1,0,smoothed,2009
