Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year
0,0.202,0.237,0.032,0.006,0.021,0.074,0.178,0.004,0.214,0.032,smoothed,2020
1,0.249,0.225,0.034,0.007,0.021,0.067,0.164,0.004,0.197,0.032,smoothed,2020
2,0.327,0.196,0.041,0.010,0.020,0.044,0.149,0.002,0.185,0.026,smoothed,2020
3,0.341,0.194,0.044,0.011,0.017,0.043,0.153,0.002,0.169,0.026,smoothed,2020
4,0.345,0.201,0.048,0.013,0.016,0.034,0.146,0.001,0.169,0.027,smoothed,2020
5,0.339,0.212,0.051,0.013,0.011,0.027,0.142,0.002,0.176,0.027,smoothed,2020
6,0.340,0.220,0.053,0.012,0.010,0.027,0.143,0.003,0.163,0.027,smoothed,2020
7,0.327,0.225,0.060,0.010,0.011,0.030,0.155,0.003,0.154,0.024,smoothed,2020
8,0.327,0.233,0.063,0.010,0.010,0.029,0.157,0.003,0.142,0.027,smoothed,2020
9,0.343,0.231,0.060,0.012,0.011,0.025,0.153,0.002,0.138,0.024,smoothed,2020
10,0.355,0.227,0.051,0.013,0.008,0.023,0.160,0.002,0.140,0.022,smoothed,2020
11,0.337,0.226,0.047,0.012,0.010,0.023,0.174,0.002,0.150,0.018,smoothed,2020
12,0.343,0.224,0.046,0.012,0.009,0.024,0.184,0.001,0.140,0.018,smoothed,2020
13,0.333,0.223,0.046,0.010,0.009,0.022,0.198,0.003,0.141,0.015,smoothed,2020
14,0.336,0.217,0.048,0.012,0.010,0.020,0.198,0.004,0.137,0.017,smoothed,2020
15,0.328,0.208,0.042,0.015,0.013,0.020,0.209,0.005,0.138,0.022,smoothed,2020
16,0.325,0.188,0.039,0.019,0.014,0.031,0.222,0.005,0.132,0.024,smoothed,2020
17,0.322,0.175,0.031,0.021,0.015,0.033,0.244,0.005,0.129,0.025,smoothed,2020
18,0.305,0.169,0.031,0.017,0.016,0.039,0.257,0.006,0.133,0.026,smoothed,2020
19,0.307,0.171,0.029,0.016,0.016,0.034,0.263,0.004,0.132,0.028,smoothed,2020
20,0.302,0.167,0.028,0.014,0.016,0.032,0.273,0.002,0.132,0.033,smoothed,2020
21,0.298,0.162,0.027,0.015,0.015,0.026,0.287,0.002,0.140,0.028,smoothed,2020
22,0.270,0.167,0.027,0.013,0.022,0.024,0.305,0.004,0.141,0.027,smoothed,2020
23,0.254,0.163,0.024,0.014,0.021,0.033,0.315,0.005,0.147,0.023,smoothed,2020
